ticket_id,cliente_id,data_abertura,canal,categoria,prioridade,tempo_resposta_horas,tempo_resolucao_horas,satisfacao_cliente
TCK-00001,CLI-017,2026-01-05,chat,duvida_de_uso,media,"1,54",6.833510137215995,4.0
TCK-00002,CLI-140,2026-01-05,email,cobranca,media,"2,05",6.664002767364921,5.0
TCK-00003,CLI-118,2026-01-05,telefone,bug,baixa,"2,04",6.184527877880782,4.0
TCK-00004,CLI-079,2026-01-05,email,bug,critica,"5,19",10.471215329965956,3.0
TCK-00005,CLI-078,2026-01-05,chat,cobranca,baixa,"0,63",3.0494261076841487,4.0
TCK-00006,CLI-155,2026-01-05,email,cobranca,baixa,"1,54",3.4561364576689653,4.0
TCK-00007,CLI-016,2026-01-05,chat,duvida_de_uso,baixa,"2,63",8.843310551020043,4.0
TCK-00008,CLI-126,2026-01-05,email,cobranca,critica,"3,82",11.085605156318962,4.0
TCK-00009,CLI-037,2026-01-05,email,cobranca,alta,"6,75",15.088345465371388,5.0
TCK-00010,CLI-017,2026-01-05,chat,duvida_de_uso,media,"0,73",4.978145461513427,4.0
TCK-00011,CLI-095,2026-01-05,email,elogio,critica,"12,03",25.971921390297602,4.0
TCK-00012,CLI-176,2026-01-05,email,cobranca,baixa,"2,51",7.661045643214115,5.0
TCK-00013,CLI-133,2026-01-05,telefone,cobranca,alta,"3,72",11.778120405285456,4.0
TCK-00014,CLI-138,2026-01-05,email,duvida_de_uso,baixa,"2,41",5.80346580764099,5.0
TCK-00015,CLI-130,2026-01-05,chat,bug,media,"0,63",3.607603028823217,4.0
TCK-00016,CLI-142,2026-01-05,chat,bug,baixa,"2,05",5.982635133461193,4.0
TCK-00017,CLI-093,2026-01-05,email,cobranca,critica,"5,76",14.331575707287422,4.0
TCK-00018,CLI-024,2026-01-05,chat,cobranca,critica,"1,81",4.111610532442782,4.0
TCK-00019,CLI-152,2026-01-05,email,bug,media,"1,70",8.237531901450506,5.0
TCK-00020,CLI-082,2026-01-05,chat,duvida_de_uso,baixa,"4,14",11.303066847935268,3.0
TCK-00021,CLI-091,2026-01-05,email,bug,baixa,"7,09",18.39070144881332,4.0
TCK-00022,CLI-067,2026-01-05,email,bug,media,"2,90",8.152484641499203,5.0
TCK-00023,CLI-033,2026-01-05,email,elogio,media,"4,59",10.439783941176593,5.0
TCK-00024,CLI-167,2026-01-05,telefone,duvida_de_uso,baixa,"6,87",16.355747885341756,
TCK-00025,CLI-141,2026-01-05,chat,bug,alta,"3,43",10.71227412308403,4.0
TCK-00026,CLI-116,2026-01-05,telefone,duvida_de_uso,media,"4,50",10.022125426555853,4.0
TCK-00027,CLI-073,2026-01-06,chat,duvida_de_uso,critica,"3,33",5.989602876496926,3.0
TCK-00028,CLI-149,2026-01-06,chat,cobranca,media,"2,90",5.473165259737995,
TCK-00029,CLI-099,2026-01-06,chat,elogio,media,"2,14",7.241843175552174,4.0
TCK-00030,CLI-080,2026-01-06,telefone,duvida_de_uso,media,"1,19",7.460116717376356,4.0
TCK-00031,CLI-082,2026-01-06,chat,duvida_de_uso,baixa,"0,89",2.651105946205678,
TCK-00032,CLI-041,2026-01-06,email,duvida_de_uso,media,"4,98",11.554900037800344,4.0
TCK-00033,CLI-017,2026-01-06,chat,duvida_de_uso,alta,"1,43",5.059024872961514,
TCK-00034,CLI-100,2026-01-06,chat,bug,baixa,"2,91",11.118496267386128,4.0
TCK-00035,CLI-160,2026-01-06,email,bug,media,"1,16",8.483040120758814,4.0
TCK-00036,CLI-012,2026-01-06,email,cobranca,alta,"1,85",6.961171471695676,5.0
TCK-00037,CLI-155,2026-01-06,email,duvida_de_uso,media,,9.784899088813413,4.0
TCK-00038,CLI-149,2026-01-06,telefone,duvida_de_uso,media,"0,31",4.869629279196028,5.0
TCK-00039,CLI-050,2026-01-06,email,bug,alta,"1,64",4.030363944769249,5.0
TCK-00040,CLI-114,2026-01-06,telefone,cobranca,media,"2,06",7.759932940360746,5.0
TCK-00041,CLI-030,2026-01-06,email,bug,baixa,"4,03",8.728409991426975,4.0
TCK-00042,CLI-137,2026-01-06,chat,duvida_de_uso,alta,"1,73",5.84906682921926,4.0
TCK-00043,CLI-127,2026-01-06,email,cobranca,critica,"4,19",12.260256726127125,5.0
TCK-00044,CLI-064,2026-01-06,telefone,duvida_de_uso,baixa,,9.714221763400216,4.0
TCK-00045,CLI-013,2026-01-06,chat,elogio,baixa,"1,67",7.659020594878742,4.0
TCK-00046,CLI-175,2026-01-07,email,bug,alta,"2,07",8.682417542005213,5.0
TCK-00047,CLI-081,2026-01-07,email,cobranca,media,"3,76",7.1280848718821295,5.0
TCK-00048,CLI-161,2026-01-07,email,elogio,media,"8,21",14.514067691267734,3.0
TCK-00049,CLI-123,2026-01-07,email,duvida_de_uso,media,"2,06",8.457677466770107,4.0
TCK-00050,CLI-141,2026-01-07,chat,cobranca,alta,"7,02",17.447359276517073,3.0
TCK-00051,CLI-137,2026-01-07,telefone,duvida_de_uso,media,"3,81",10.245688019453999,5.0
TCK-00052,CLI-036,2026-01-07,chat,cobranca,baixa,,10.622140694593757,5.0
